addr	symbol	size	class	source	status	fuzzy	alternatives
0010001c	func_0010001c	524	mmi	stub	compile	0.00	m2c:link:0.0
00100228	func_00100228	116	loop	ghidra	near	52.71	m2c:near:0.0;lift:compile:0.0
001002a0	func_001002a0	8	straight	lift	near	28.00	m2c:near:28.0;ghidra:near:14.0
001002b0	func_001002b0	132	loop	lift	near	94.03	m2c:near:82.05;ghidra:near:27.76
00100338	func_00100338	20	straight	lift	near	0.00	ghidra:near:0.0;m2c:near:0.0
001003b0	func_001003b0	20	straight	lift	near	0.00	ghidra:near:0.0;m2c:near:0.0
00100468	func_00100468	84	loop	corpus	near	93.81	lift:near:72.14;ghidra:near:64.04;m2c:near:61.04
001004c0	func_001004c0	340	switch	ghidra	near	37.55	m2c:compile:0.0
00100700	_Z16wtarget_00100700jjjj	108	branchy	lift	near	89.56	m2c:near:59.14;ghidra:near:54.25
001007c0	_Z13func_001007c0Pv	272	loop	ghidra	near	0.00	m2c:compile:0.0
00100920	func_00100920	128	branchy	m2c	near	74.84	lift:near:46.38;ghidra:near:11.11
001009a0	func_001009a0	212	loop	ghidra	near	20.18	m2c:near:13.64
00100aa0	func_00100aa0	208	branchy	lift	near	86.87	m2c:near:66.17;ghidra:near:56.37
00100b70	func_00100b70	208	branchy	ghidra	near	88.67	lift:near:72.33;m2c:near:68.51
00100c40	func_00100c40	648	loop	ghidra	near	21.30	m2c:compile:0.0
00100ec8	func_00100ec8	388	loop	lift	near	62.23	m2c:near:59.96;ghidra:near:48.15
00101050	func_00101050	400	loop	lift	near	66.69	m2c:near:57.11;ghidra:near:43.72
001011e0	func_001011e0	424	loop	lift	near	70.69	m2c:near:69.96;ghidra:near:52.47
00101388	func_00101388	780	loop	m2c	near	51.53	lift:near:40.54;ghidra:near:0.0
00101698	func_00101698	432	loop	lift	near	28.95	m2c:near:28.78;ghidra:near:17.58
00101848	func_00101848	848	loop	ghidra	near	24.56	lift:compile:0.0;m2c:compile:0.0
00101b98	func_00101b98	328	loop	ghidra	near	56.76	m2c:compile:0.0
00101ce0	func_00101ce0	88	loop	lift	near	85.41	ghidra:near:77.14;m2c:compile:0.0
00101d38	func_00101d38	20	straight	lift	near	0.00	ghidra:near:0.0;m2c:near:0.0
00102080	func_00102080	172	loop	lift	near	94.27	ghidra:near:21.19;e3:near:0.0;m2c:near:0.0
00102180	func_00102180	76	loop	lift	near	61.47	ghidra:near:57.79;e3:near:41.05;m2c:near:23.32
00102210	func_00102210	64	loop	lift	near	51.75	ghidra:near:43.0;m2c:near:12.44;e3:near:0.0
00102350	func_00102350	244	float	lift	near	71.51	ghidra:near:59.87;m2c:compile:0.0
00102470	func_00102470	52	float	m2c	near	38.20	lift:near:24.67;ghidra:near:18.48
001024b0	func_001024b0	84	straight	ghidra	near	87.43	e3:near:62.27;m2c:compile:0.0
00102508	_ZN12TASK_MANAGER6CreateEPvj	32	straight	lift	exact	100.00	twins:exact:100.0;corpus:exact:100.0;ghidra:exact:100.0;m2c:exact:100.0
00102528	func_00102528	204	loop	lift	near	77.61	m2c:near:40.9;e3:near:35.24;ghidra:near:0.0
001025f8	_Z13func_001025f8Pv	116	branchy	lift	near	85.83	ghidra:near:85.83;m2c:near:82.31
00102688	_Z16wtarget_00102688jjjj	168	loop	m2c	near	86.93	ghidra:near:73.7;lift:near:60.5
00102750	func_00102750	56	straight	lift	near	98.57	m2c:near:98.57;ghidra:near:83.12;e3:near:81.71
00102788	_ZN12TASK_MANAGER11create_taskEiiPFvP4TASKE	140	straight	ghidra	near	90.14	e3:near:50.98;m2c:compile:0.0
00102818	_ZN12TASK_MANAGER13create_threadEiiPFvP4TASKEi	152	straight	ghidra	near	84.87	e3:near:60.59;m2c:compile:0.0
001028b0	_Z16wtarget_001028b0jjjj	312	loop	m2c	near	92.37	lift:near:79.6;ghidra:near:79.03
00102a08	func_00102a08	48	loop	lift	exact	100.00	m2c:near:66.5;ghidra:near:43.75
00102a38	func_00102a38	56	loop	lift	exact	100.00	ghidra:near:23.57;m2c:near:22.0
00102bd8	func_00102bd8	60	straight	m2c	near	79.00	lift:near:52.93;ghidra:near:52.93
00102c48	func_00102c48	56	straight	lift	exact	100.00	ghidra:exact:100.0;e3:near:99.93;corpus:near:69.64;m2c:near:26.64
00102c90	_Z16wtarget_00102c90jjjj	92	branchy	lift	near	61.20	m2c:near:59.03;ghidra:near:56.65
00102ed8	func_00102ed8	48	straight	lift	exact	100.00	twins:exact:100.0;ghidra:near:98.33;m2c:near:71.46
00102f38	func_00102f38	56	straight	lift	exact	100.00	ghidra:exact:100.0;corpus:near:69.64;m2c:near:26.64
00103080	_Z16wtarget_00103080jjjj	92	branchy	lift	near	61.20	m2c:near:59.03;ghidra:near:56.65
001031d0	func_001031d0	456	branchy	lift	near	95.92	m2c:near:76.85;ghidra:near:13.93
001033d8	_Z13func_001033d8Pv	80	loop	ghidra	near	44.00	lift:near:38.71;m2c:near:27.6
00103428	func_00103428	88	loop	lift	near	25.23	m2c:near:11.48;ghidra:near:0.0
00103480	func_00103480	124	straight	lift	near	96.71	ghidra:near:92.84;m2c:near:72.79
00103590	_ZN4MENU15CreateAllocatorEiPN2kn15MemoryAllocatorE	316	branchy	m2c	near	77.51	ghidra:near:75.33;lift:near:74.9;e3:near:0.37
001036d0	func_001036d0	120	branchy	lift	near	82.45	ghidra:near:58.31;m2c:near:54.71;e3:near:0.0
00103748	_ZN4MENU16DestoryAllocatorEv	108	branchy	lift	exact	100.00	ghidra:near:95.56;e3:near:89.81;m2c:near:47.47
001037b8	func_001037b8	64	straight	lift	exact	100.00	e3:exact:100.0;ghidra:near:91.81;m2c:near:70.94
001037f8	_ZN4MENU13pauseExecTaskEP4TASK	512	branchy	ghidra	near	86.48	lift:near:32.7;m2c:near:32.55
001039f8	func_001039f8	68	branchy	lift	exact	100.00	m2c:near:79.84;ghidra:near:25.0;e3:near:0.0
