ee_addr	size	class	cov_status	cov_source	cov_fuzzy	ppc_addr	mangled	demangled	decl_file	conf
00121cc8	5232	float	near	ghidra	19.66	00121568	_ZN2kn8ModelSKL10drawNormalEPNS_16ProjectionCameraEPPN3Axa11DMA_SET_TAGEPNS_9DrawParamEPcPNS_13AnimationWorkEbPNS_7FMatrixE	kn::ModelSKL::drawNormal(kn::ProjectionCamera*, Axa::DMA_SET_TAG**, kn::DrawParam*, char*, kn::AnimationWork*, bool, kn::FMatrix*)		sim-high
0017aad0	5160	float	near	lift	65.62	004c65c0	__sti___10_action_cpp_23cfd07e	__sti___10_action_cpp_23cfd07e		sim-high
0011f7a8	3448	float	near	ghidra	34.46	0011ef40	_ZN2kn7ModelBG10drawCommonEPNS_16ProjectionCameraEPNS_9DrawParamEPcPNS_13AnimationWorkEbPNS_7FMatrixE	kn::ModelBG::drawCommon(kn::ProjectionCamera*, kn::DrawParam*, char*, kn::AnimationWork*, bool, kn::FMatrix*)		sim-high
00267e00	3376	switch	near	ghidra	14.80	0039f7f0	_ZN2Tz7CmEquip10SetupEquipEv	Tz::CmEquip::SetupEquip()		sim-high
001e4320	2808	float	near	lift	34.50	002ac1d0	_Z27dpd_set_monochrome_rsd_dataPi	dpd_set_monochrome_rsd_data(int*)		sim-med
0023ade0	2484	float	near	lift	41.67	000c3c58	_ZN2YI8SEQUENCE4DrawEv	YI::SEQUENCE::Draw()		high
00255df0	2304	loop	near	lift	50.38	0030f740	_ZN2Tz5CmTop4DrawEv	Tz::CmTop::Draw()		med
00194a30	2276	branchy	near	lift	55.93	004d9f58	_ZN2YS6BATTLE7SysInitEv	YS::BATTLE::SysInit()		high
002c90c8	2256	float	near	ghidra	82.77	003e171c	_ZN2dk16WM_GLANDING_INFOC1Ei	dk::WM_GLANDING_INFO::WM_GLANDING_INFO(int)		sim-high
0020b4e8	2248	float	near	m2c	74.65	005ccdd0	_Z5birthP18VRyjMegaBirthModelP18PRyjMegaBirthModelP6VColorP14_PARTICLE_DATAP14_PARTICLE_WMATP15_PARTICLE_COLOR	birth(VRyjMegaBirthModel*, PRyjMegaBirthModel*, VColor*, _PARTICLE_DATA*, _PARTICLE_WMAT*, _PARTICLE_COLOR*)		sim-high
0027dee8	2036	loop	near	ghidra	52.13	00384098	_ZN2Tz10SimpleStat6CreateEiii	Tz::SimpleStat::Create(int, int, int)		med
002c44b8	2028	loop	near	ghidra	62.88	003e3644	_ZN2dk10WM_LANDING12createSelectEv	dk::WM_LANDING::createSelect()		med
0023a0d8	1996	float	near	ghidra	18.58	000c2d20	_ZN2YI8SEQUENCE12UpdateActiveEv	YI::SEQUENCE::UpdateActive()		sim-high
00149448	1928	loop	near	lift	84.66	00062be0	_ZN2dk7MapFile4initEv	dk::MapFile::init()		med
0029d318	1872	loop	near	ghidra	62.99	0033b468	_ZN2Tz5JmDic15CreateCharaInfoEv	Tz::JmDic::CreateCharaInfo()		med
00238570	1824	float	near	lift	46.64	000c7c60	_ZN2YI6SPRITE5_DrawEiiii	YI::SPRITE::_Draw(int, int, int, int)		sim-high
0025cde0	1800	switch	near	lift	55.42	00302808	_ZN2Tz6CmSave4DrawEv	Tz::CmSave::Draw()		sim-high
0010c078	1792	branchy	near	lift	91.44	000e24f4	_ZN2kn6FriendC1EPKN2YS8OBJENTRYERKNS_7FVectorEf	kn::Friend::Friend(YS::OBJENTRY const*, kn::FVector const&, float)		sim-high
00286628	1792	loop	near	ghidra	59.58	003acebc	_ZN2Tz8CmNewFlg12CheckAbilityEv	Tz::CmNewFlg::CheckAbility()		med
0025c3c0	1716	switch	near	m2c	91.28	003035b0	_ZN2Tz6CmSave11CtrlSysSaveEv	Tz::CmSave::CtrlSysSave()		med
00270c70	1636	switch	near	ghidra	37.28	003994a4	_ZN2Tz8CmCustom11GetListInfoEi	Tz::CmCustom::GetListInfo(int)		med
002847e0	1632	float	near	lift	76.85	002ef838	_ZN2Tz6Ending5SetupEv	Tz::Ending::Setup()		high
