ee_addr	ppc_addr	size	class	cov_fuzzy	status	fuzzy	err	notes	constraints
00102180	00039b18	76	loop	61.47	near	41.05		gvote:ExecMode->0038aa40	
00102528	000405e8	204	loop	77.61	near	35.24			
001025f8	00040964	116	branchy	85.83	near	47.11		unmapped-call:disposeFiber;dropped:disposeFiberx1	
00102688	00040e2c	168	loop	86.93	near	50.95		positional:_unlink->001025f8;arity-pad:func_001025f8;globals:1ppc/0ps2;unmapped-global:value;static-unmapped;variant:no_dims	
00102750	00040f68	56	straight	98.57	near	81.71		arity-pad:func_00102688	TASK_MANAGER|TaskList|8|c|4
00102788	000406f8	140	straight	90.14	near	50.98		dropped:ErrorPrintfx1;dropped:ErrorRaisex1;arity-pad:func_00102528;globals:3ppc/0ps2;gdims:__LNst__ZN12TASK_MANAGER11create_taskEiiPFvP4TASKE_0;unmapped-global:__LNst__ZN12TASK_MANAGER11create_taskEiiPFvP4TASKE_0;gdims:__LNst__ZN4TASK5sleepEi_3;unmapped-global:__LNst__ZN4TASK5sleepEi_3;gdims:LS_45_LV_6;unmapped-global:LS_45_LV_6	
00102818	00040830	152	straight	84.87	near	60.59		dropped:ErrorPrintfx1;dropped:ErrorRaisex1;arity-pad:func_00102788;globals:3ppc/0ps2;gdims:__LNst__ZN12TASK_MANAGER11create_taskEiiPFvP4TASKE_0;unmapped-global:__LNst__ZN12TASK_MANAGER11create_taskEiiPFvP4TASKE_0;gdims:__LNst__ZN4TASK5sleepEi_3;unmapped-global:__LNst__ZN4TASK5sleepEi_3;gdims:LS_47_LV_8;unmapped-global:LS_47_LV_8	
001028b0	00040ad4	312	loop	92.37	near	43.94		synth-fields:7;simmap:exec->00102350;positional:_unlink->001025f8;dropped:ErrorPrintfx1;dropped:ErrorRaisex1;this-pad:func_00102350;arity-pad:func_001025f8;globals:6ppc/1ps2;unmapped-global:CurrentTask;unmapped-global:Config;unmapped-global:__LNst__ZN12TASK_MANAGER11masked_execEii_0;unmapped-global:__LNst__ZN4TASK5sleepEi_3;unmapped-global:LS_61_LV_9;static-unmapped;variant:no_dims	
00102bd8	00038f5c	60	straight	79.00	near	27.8		globals:5ppc/4ps2;unmapped-global:0x792110;static-unmapped;variant:no_gvote	
001031d0	0003cdd0	456	branchy	95.92	near	30.69		dropped:ErrorPrintfx10;dropped:ErrorRaisex4;dropped:_printfx2;gvote:s_type->003a6a50;gvote:m_SetAllocator->0032ba30;gvote:m_MenuRunning->0032ba28;gvote:s_ReserveType->0032ba20;gvote:s_isPauseDisable->0032ba1c;globals:13ppc/7ps2;gdims:s_MenuTypeLst;unmapped-global:m_GMode;unmapped-global:Allocator;unmapped-global:ObjAllocator;unmapped-global:m_MapJump;gdims:__LNst__ZN4MENU7setTypeEi_3;unmapped-global:__LNst__ZN4MENU7setTypeEi_3;gdims:__LNst__ZN4MENU6EnsureEP4TASK_0;unmapped-global:__LNst__ZN4MENU6EnsureEP4TASK_0;fix-arity:func_00253180;static-unmapped	
