ee_addr	ppc_addr	tier	mangled	demangled	c_ident	params	locals
00101d50	0013afb8	seed	_ZN5SOUND4initEv	SOUND::init()	SOUND__init		
00101d68	00078a90	seed	_ZN2dk9SoftReset16softReset_threadEP4TASK	dk::SoftReset::softReset_thread(TASK*)	dk__SoftReset__softReset_thread	TASK * self	int exec_cnt; const int GAME_MODE_MAX; GAME_MODE *[8] out; GAME_MODE & menu_mode; GAME_MODE & shop_mode; void * return_addr; int i
00101ea8	00039bfc	sim-med	_ZN9GAME_MODE8ExecTaskEP4TASK	GAME_MODE::ExecTask(TASK*)	GAME_MODE__ExecTask	TASK * task	GAME_MODE * mode; GAME_MODE * exec_mode
00102180	00039b18	med	_ZN9GAME_MODE11getExecModeEPPS_	GAME_MODE::getExecMode(GAME_MODE**)	GAME_MODE__getExecMode	GAME_MODE ** out	GAME_MODE * mode; int cnt
001021d0	000398e8	seed	_ZN9GAME_MODE7disableEv	GAME_MODE::disable()	GAME_MODE__disable		
001021f0	00039b7c	high	_ZN9GAME_MODE6enableEv	GAME_MODE::enable()	GAME_MODE__enable		
00102210	00039ba8	sim-sib-med	_ZN9GAME_MODE10getCurrentEv	GAME_MODE::getCurrent()	GAME_MODE__getCurrent		GAME_MODE * mode
00102350	00040370	sim-rerun-med	_ZN4TASK4execEv	TASK::exec()	TASK__exec		
00102448	0003fff0	sim-sib-high	_ZN4TASK5sleepEi	TASK::sleep(int)	TASK__sleep	int wait	void * return_addr; void * return_addr
00102470	0004018c	sim-sib-med	_ZN4TASK5sleepEf	TASK::sleep(float)	TASK__sleep_2	float wait	void * return_addr; void * return_addr
001024b0	000404b0	sim-rerun-high	_ZN12TASK_MANAGER6CreateEP9ALLOCATOR	TASK_MANAGER::Create(ALLOCATOR*)	TASK_MANAGER__Create_2	ALLOCATOR * allocator	TASK_MANAGER * manager
00102508	00040548	seed	_ZN12TASK_MANAGER6CreateEPvj	TASK_MANAGER::Create(void*, unsigned int)	TASK_MANAGER__Create	void * buff, size_t size	kn::MemoryAllocator * allocator
00102528	000405e8	med	_ZN12TASK_MANAGER4linkEP4TASK	TASK_MANAGER::link(TASK*)	TASK_MANAGER__link	TASK * task	TASK * prev; TASK * next
001025f8	00040964	sim-low	_ZN12TASK_MANAGER7_unlinkEP4TASK	TASK_MANAGER::_unlink(TASK*)	TASK_MANAGER___unlink	TASK * task	
00102670	00040d7c	sim-low	_ZN12TASK_MANAGER6unlinkEP4TASK	TASK_MANAGER::unlink(TASK*)	TASK_MANAGER__unlink	TASK * task	void * return_addr
00102688	00040e2c	sim-low	_ZN12TASK_MANAGER13masked_unlinkEii	TASK_MANAGER::masked_unlink(int, int)	TASK_MANAGER__masked_unlink	int mask, int value	TASK * task; TASK * next
00102730	00040f0c	sim-low	_ZN12TASK_MANAGER10unlink_allEv	TASK_MANAGER::unlink_all()	TASK_MANAGER__unlink_all		
00102750	00040f68	med	_ZN12TASK_MANAGER7destroyEv	TASK_MANAGER::destroy()	TASK_MANAGER__destroy		
00102788	000406f8	seed	_ZN12TASK_MANAGER11create_taskEiiPFvP4TASKE	TASK_MANAGER::create_task(int, int, void (*)(TASK*))	TASK_MANAGER__create_task	int id, int priority, TASK_FUNC entry_func	void * pt; TASK * task; void * return_addr
00102818	00040830	high	_ZN12TASK_MANAGER13create_threadEiiPFvP4TASKEi	TASK_MANAGER::create_thread(int, int, void (*)(TASK*), int)	TASK_MANAGER__create_thread	int id, int priority, TASK_FUNC entry_func, int stack_size	void * pt; TASK * task; void * return_addr
001028b0	00040ad4	sim-low	_ZN12TASK_MANAGER11masked_execEii	TASK_MANAGER::masked_exec(int, int)	TASK_MANAGER__masked_exec	int mask, int value	TASK * task; TASK * parent; ALLOCATOR * allocator; void * return_addr
001029e8	00040d54	med	_ZN12TASK_MANAGER8exec_allEv	TASK_MANAGER::exec_all()	TASK_MANAGER__exec_all		
00102a08	00040f34	sim-rerun2-med	_ZN12TASK_MANAGER5countEv	TASK_MANAGER::count()	TASK_MANAGER__count		int c; TASK * task
00102a38	00040fc4	sim-sib-high	_ZN12TASK_MANAGER8is_existEPFvP4TASKE	TASK_MANAGER::is_exist(void (*)(TASK*))	TASK_MANAGER__is_exist	TASK_FUNC entry_func	TASK * task
