ee_addr	ppc_addr	votes	c_ident	mangled	demangled	dwarf_type
0032b91c	0084cac0	14.0	SystemTask	SystemTask	SystemTask	TASK_MANAGER *
0032b948	00742ecc	1.0	vtbl__TASK_MANAGER	_ZTV12TASK_MANAGER	vtable for TASK_MANAGER	
0032b968	0084b6d0	28.0	FIELD__Mode	_ZN5FIELD4ModeE	FIELD::Mode	GAME_MODE
0032b994	0084b6fc	1.0	FIELD__StartArea	_ZN5FIELD9StartAreaE	FIELD::StartArea	AREA *
0032b998	007e90f0	1.0	CacheBuffDestroy	CacheBuffDestroy	CacheBuffDestroy	bool
0032b9cc	007e95c8	4.0	TITLE__Allocator	_ZN5TITLE9AllocatorE	TITLE::Allocator	kn::MemoryAllocator *
0032b9d8	007e95c0	2.0	TITLE__m_Stat	_ZN5TITLE6m_StatE	TITLE::m_Stat	TITLE::Stat
0032ba14	007e9524	19.0	MENU__Allocator	_ZN4MENU9AllocatorE	MENU::Allocator	kn::MemoryAllocator *
0032ba18	007e9528	3.0	MENU__ObjAllocator	_ZN4MENU12ObjAllocatorE	MENU::ObjAllocator	kn::MemoryAllocator *
0032ba1c	007e9518	2.0	s_isPauseDisable	s_isPauseDisable	s_isPauseDisable	bool
0032ba20	007e951c	2.0	s_ReserveType	s_ReserveType	s_ReserveType	int
0032ba24	008f4be8	7.0	MENU__m_GMode	_ZN4MENU7m_GModeE	MENU::m_GMode	int
0032ba28	008f4be4	3.0	MENU__m_MenuRunning	_ZN4MENU13m_MenuRunningE	MENU::m_MenuRunning	BOOL_1
0032ba2c	008f4bec	2.0	MENU__m_MapJump	_ZN4MENU9m_MapJumpE	MENU::m_MapJump	int
0032ba30	008f4bf0	4.0	MENU__m_SetAllocator	_ZN4MENU14m_SetAllocatorE	MENU::m_SetAllocator	BOOL_1
0032ba34	007e9520	2.0	MENU__m_CallBack	_ZN4MENU10m_CallBackE	MENU::m_CallBack	MenuCallBack
0032ba48	0084b828	8.0	GUMIBATTLE__Mode	_ZN10GUMIBATTLE4ModeE	GUMIBATTLE::Mode	GAME_MODE
0032ba74	007e90f4	2.0	GUMIBATTLE__Allocator	_ZN10GUMIBATTLE9AllocatorE	GUMIBATTLE::Allocator	kn::MemoryAllocator *
0032ba78	007e9100	4.0	GUMIBATTLE__m_PauseParam	_ZN10GUMIBATTLE12m_PauseParamE	GUMIBATTLE::m_PauseParam	GUMIBATTLE::PauseParam *
0032ba7c	0084b854	1.0	GUMIBATTLE__StageNo	_ZN10GUMIBATTLE7StageNoE	GUMIBATTLE::StageNo	int
0032bad8	0090611c	3.0	AREA__IsIn	_ZN4AREA4IsInE	AREA::IsIn	BOOL_1
0032bae0	00906108	56.0	AREA__Current	_ZN4AREA7CurrentE	AREA::Current	AREA
0032bb1c	007e95d0	5.0	Allocator	Allocator	Allocator	kn::MemoryAllocator *
0032bb20	007e95d4	1.0	TaskMapJump	TaskMapJump	TaskMapJump	TASK *
0032bb30	008f4d50	108.0	SaveRam	SaveRam	SaveRam	SAVERAM
0033caf4	007e9534	12.0	REGION__Lang	_ZN6REGION4LangE	REGION::Lang	const char *
0033cbb0	00905e5c	3.0	SHOP__m_isRunning	_ZN4SHOP11m_isRunningE	SHOP::m_isRunning	BOOL_1
0033cc38	007ef1d4	2.0	kn__cameraMode	_ZN2kn10cameraModeE	kn::cameraMode	int
0033cc3c	007ef1d8	1.0	kn__cameraModeSave	_ZN2kn14cameraModeSaveE	kn::cameraModeSave	int
0033cc40	007ef1dc	3.0	kn__cameraNumber	_ZN2kn12cameraNumberE	kn::cameraNumber	int
0033cc44	007ef1e0	4.0	kn__cameraMulti	_ZN2kn11cameraMultiE	kn::cameraMulti	bool
0033cc64	007f6970	2.0	kn__VU1Draw__packet_buffer_	_ZN2kn7VU1Draw14packet_buffer_E	kn::VU1Draw::packet_buffer_	void *
0033cc68	00a2f1f0	3.0	kn__VU1Draw__draw_obj_max_	_ZN2kn7VU1Draw13draw_obj_max_E	kn::VU1Draw::draw_obj_max_	u_int
0033cc70	007f6978	2.0	kn__VU1Draw__shadow_queue_	_ZN2kn7VU1Draw13shadow_queue_E	kn::VU1Draw::shadow_queue_	kn::DrawShadowQueue *
00340ea8	00a3341c	1.0	kn__VU1Draw__temporaryMomoryPtr_	_ZN2kn7VU1Draw19temporaryMomoryPtr_E	kn::VU1Draw::temporaryMomoryPtr_	BUFFER4 *
00340ed4	00a33444	1.0	kn__VU1Draw__phase_	_ZN2kn7VU1Draw6phase_E	kn::VU1Draw::phase_	kn::VU1Draw::PHASE
00340ed8	00a33448	4.0	kn__VU1Draw__context_	_ZN2kn7VU1Draw8context_E	kn::VU1Draw::context_	kn::VU1DrawContext
00341060	007f6a20	1.0	kn__shadowTextureSoftSmallPacket	_ZN2kn28shadowTextureSoftSmallPacketE	kn::shadowTextureSoftSmallPacket	ULONGLONG[66]
00341270	007f6e40	1.0	kn__shadowTextureSoftLargePacket	_ZN2kn28shadowTextureSoftLargePacketE	kn::shadowTextureSoftLargePacket	ULONGLONG[66]
00341480	007f6c30	1.0	kn__shadowTextureSoftMiddlePacket	_ZN2kn29shadowTextureSoftMiddlePacketE	kn::shadowTextureSoftMiddlePacket	ULONGLONG[66]
00341700	00a1ca70	3.0	kn__Friend__battleStatusOld	_ZN2kn6Friend15battleStatusOldE	kn::Friend::battleStatusOld	BOOL_1
00341708	007ef218	19.0	kn__Friend__partyChara	_ZN2kn6Friend10partyCharaE	kn::Friend::partyChara	YS::PARTY *[3]
00341780	007ef224	3.0	kn__Friend__warpLevel	_ZN2kn6Friend9warpLevelE	kn::Friend::warpLevel	kn::Friend::WARP_LEVEL
003417a8	00a1cb00	1.0	kn__Friend__playerAttackerNum	_ZN2kn6Friend17playerAttackerNumE	kn::Friend::playerAttackerNum	int
003417b0	00a1cb04	17.0	kn__Friend__playerTarget	_ZN2kn6Friend12playerTargetE	kn::Friend::playerTarget	YS::TARGET
003417c4	007ef228	2.0	kn__Friend__playerTargetNotifyObj	_ZN2kn6Friend21playerTargetNotifyObjE	kn::Friend::playerTargetNotifyObj	YS::OBJ *
00345b28	007f5550	3.0	LS_361_func_tbl	LS.361.func_tbl	LS.361.func_tbl	void (kn::Friend::*[12]
00345cf0	00745678	5.0	vtbl__kn__FriendPersonality	_ZTVN2kn17FriendPersonalityE	vtable for kn::FriendPersonality	
00345d30	007f56c8	1.0	kn__item_id_tbl	_ZN2kn11item_id_tblE	kn::item_id_tbl	short[7]
