ee_addr	dwarf_linkage	tier	static	arity	ret	text	decl_file
00101ea8	_ZN9GAME_MODE8ExecTaskEP4TASK	sim-med	1	1		GAME_MODE::ExecTask(TASK *) [DWARF: static -- no implicit `this`, do NOT add a leading self/object-pointer argument]	C:/hd25/kingdom2/common/gamemode.cpp
00102180	_ZN9GAME_MODE11getExecModeEPPS_	med	1	1	int	GAME_MODE::getExecMode(GAME_MODE **) [DWARF: static -- no implicit `this`, do NOT add a leading self/object-pointer argument]	C:/hd25/kingdom2/common/gamemode.cpp
001021f0	_ZN9GAME_MODE6enableEv	high	1	0		GAME_MODE::enable() [DWARF: static -- no implicit `this`, do NOT add a leading self/object-pointer argument]	C:/hd25/kingdom2/common/gamemode.cpp
00102210	_ZN9GAME_MODE10getCurrentEv	sim-sib-med	1	0	GAME_MODE *	GAME_MODE::getCurrent() [DWARF: static -- no implicit `this`, do NOT add a leading self/object-pointer argument]	C:/hd25/kingdom2/common/gamemode.cpp
00102350	_ZN4TASK4execEv	sim-rerun-med	0	1		TASK::exec(TASK *)	C:/hd25/kingdom2/common/WIN/taskWIN.cpp
00102448	_ZN4TASK5sleepEi	sim-sib-high	0	2		TASK::sleep(TASK *, int)	C:/hd25/kingdom2/common/WIN/taskWIN.cpp
00102470	_ZN4TASK5sleepEf	sim-sib-med	0	2		TASK::sleep(TASK *, float)	C:/hd25/kingdom2/common/WIN/taskWIN.cpp
001024b0	_ZN12TASK_MANAGER6CreateEP9ALLOCATOR	sim-rerun-high	1	1	TASK_MANAGER *	TASK_MANAGER::Create(ALLOCATOR *) [DWARF: static -- no implicit `this`, do NOT add a leading self/object-pointer argument]	C:/hd25/kingdom2/common/WIN/taskWIN.cpp
00102528	_ZN12TASK_MANAGER4linkEP4TASK	med	0	2		TASK_MANAGER::link(TASK_MANAGER *, TASK *)	C:/hd25/kingdom2/common/WIN/taskWIN.cpp
00102750	_ZN12TASK_MANAGER7destroyEv	med	0	1		TASK_MANAGER::destroy(TASK_MANAGER *)	C:/hd25/kingdom2/common/WIN/taskWIN.cpp
00102818	_ZN12TASK_MANAGER13create_threadEiiPFvP4TASKEi	high	0	5	TASK *	TASK_MANAGER::create_thread(TASK_MANAGER *, int, int, TASK_FUNC, int)	C:/hd25/kingdom2/common/WIN/taskWIN.cpp
001029e8	_ZN12TASK_MANAGER8exec_allEv	med	0	1		TASK_MANAGER::exec_all(TASK_MANAGER *)	C:/hd25/kingdom2/common/WIN/taskWIN.cpp
00102a08	_ZN12TASK_MANAGER5countEv	sim-rerun2-med	0	1	int	TASK_MANAGER::count(TASK_MANAGER *)	C:/hd25/kingdom2/common/WIN/taskWIN.cpp
00102a38	_ZN12TASK_MANAGER8is_existEPFvP4TASKE	sim-sib-high	0	2	bool	TASK_MANAGER::is_exist(TASK_MANAGER *, TASK_FUNC)	C:/hd25/kingdom2/common/WIN/taskWIN.cpp
00102a70	_ZN5FIELD5StartEP4TASK	med	1	1		FIELD::Start(TASK *) [DWARF: static -- no implicit `this`, do NOT add a leading self/object-pointer argument]	C:/hd25/kingdom2/common/field.cpp
00102b90	_ZN5FIELD6EnsureEP4TASK	med	1	1		FIELD::Ensure(TASK *) [DWARF: static -- no implicit `this`, do NOT add a leading self/object-pointer argument]	C:/hd25/kingdom2/common/field.cpp
00102bd8	_ZN5FIELD4InitEv	med	1	0		FIELD::Init() [DWARF: static -- no implicit `this`, do NOT add a leading self/object-pointer argument]	C:/hd25/kingdom2/common/field.cpp
00102c48	_ZN5FIELD12CreateThreadEiiPFvP4TASKEi	med	1	4	TASK *	FIELD::CreateThread(int, int, TASK_FUNC, int) [DWARF: static -- no implicit `this`, do NOT add a leading self/object-pointer argument]	C:/hd25/kingdom2/common/field.cpp
00102d10	_ZN5TITLE5StartEP4TASK	sim-rerun2-med	1	1		TITLE::Start(TASK *) [DWARF: static -- no implicit `this`, do NOT add a leading self/object-pointer argument]	C:/hd25/kingdom2/common/title.cpp
00102dc0	_ZN5TITLE6EnsureEP4TASK	sim-gap-med	1	1		TITLE::Ensure(TASK *) [DWARF: static -- no implicit `this`, do NOT add a leading self/object-pointer argument]	C:/hd25/kingdom2/common/title.cpp
00102e40	_ZN5TITLE8BootInitEv	sim-sandwich	1	0		TITLE::BootInit() [DWARF: static -- no implicit `this`, do NOT add a leading self/object-pointer argument]	C:/hd25/kingdom2/common/title.cpp
00102e90	_ZN5TITLE12GetAllocatorEv	sim-sandwich	1	0	kn::MemoryAllocator *	TITLE::GetAllocator() [DWARF: static -- no implicit `this`, do NOT add a leading self/object-pointer argument]	C:/hd25/kingdom2/common/title.cpp
00102ea0	_ZN5TITLE5AllocEj	sim-sandwich	1	1	void *	TITLE::Alloc(size_t) [DWARF: static -- no implicit `this`, do NOT add a leading self/object-pointer argument]	C:/hd25/kingdom2/common/title.cpp
00102ed8	_ZN5TITLE4FreeEPv	sim-sandwich	1	1		TITLE::Free(void *) [DWARF: static -- no implicit `this`, do NOT add a leading self/object-pointer argument]	C:/hd25/kingdom2/common/title.cpp
00102f08	_ZN5TITLE10CreateTaskEiiPFvP4TASKE	sim-rerun-med	1	3	TASK *	TITLE::CreateTask(int, int, TASK_FUNC) [DWARF: static -- no implicit `this`, do NOT add a leading self/object-pointer argument]	C:/hd25/kingdom2/common/title.cpp
00102ff0	_ZN5TITLE15SetFindClearKH2Eb	sim-sib-med	1	1		TITLE::SetFindClearKH2(bool) [DWARF: static -- no implicit `this`, do NOT add a leading self/object-pointer argument]	C:/hd25/kingdom2/common/title.cpp
