# addr	current_symbol_in_src	e3_name
001021f0	func_001021f0	_ZN9GAME_MODE6enableEv
0010fa58	func_0010fa58	_ZN2kn6Friend10getInertiaEv
00112740	func_00112740	_ZN2kn6Friend7getFlagEv
00113668	func_00113668	_ZN2kn17FriendPersonalityD2Ev
00113688	func_00113688	_ZN2kn17FriendPersonalityD0Ev
00115068	func_00115068	_ZN2kn7SparrowD1Ev
00119ce0	func_00119ce0	_ZN2kn5GenieD1Ev
0011a6b0	func_0011a6b0	_ZN2kn13ChickenLittleC1EPNS_6FriendEPNS_11FriendParamE
0011a750	func_0011a750	_ZN2kn13ChickenLittleD1Ev
0011eb08	_Z16wtarget_0011eb08jjjj	_ZN2kn8ModelObj16setDefaultTexanmEj
0011eb78	_Z16wtarget_0011eb78jjjj	_ZN2kn8ModelObj18resetDefaultTexanmEj
0011ee78	func_0011ee78	_ZN2kn5ModelD0Ev
0011f578	func_0011f578	_ZN2kn7ModelBGD1Ev
0011f6c0	func_0011f6c0	_ZN2kn7ModelBG15destroyModelObjEP9ALLOCATORPNS_8ModelObjE
00120550	func_00120550	_ZN2kn7ModelBG12drawOnShadowEPNS_16ProjectionCameraEPPN3Axa11DMA_SET_TAGEPNS_9DrawParamEPcbPNS_7FMatrixE
00124140	func_00124140	_ZNK2kn10ModelMulti11getGroupNumEv
00138c90	func_00138c90	_ZN2dk6Sprite15getPosAddOffsetERiS1_
001390a8	func_001390a8	_ZN2dk13SpriteMessage6updateEv
001390f0	func_001390f0	_ZN2dk8Sprite3D6updateEv
001391f0	func_001391f0	_ZN2dk5Obj2D6updateEv
0013a218	func_0013a218	_ZN2dk5Obj2D15destroyLoopExecEv
0013b538	func_0013b538	_ZN2dk12COMMAND_DRAW8leaveAllEv
0013daf8	_Z16wtarget_0013daf8jjjj	_ZN2dk10GAUGE_DRAW2onEv
0013e470	func_0013e470	_ZN2dk6LockOn6updateEv
00143ee8	_Z16ctarget_00143ee8jjjj	_ZN2dk6Octree7getAttrEtb
0014abb8	func_0014abb8	_ZN2dk14getWideMaskTopEv
0014abc8	func_0014abc8	_ZN2dk17getWideMaskBottomEv
0014fdd0	func_0014fdd0	_ZN2dk9INFO_BASE7destroyEv
00153c80	func_00153c80	_ZN2dk6Layout4exitEv
00154330	func_00154330	_ZN2dk4FACE6updateEv
00154358	func_00154358	_ZN2dk4FACE4drawEv
00154a88	func_00154a88	_ZN2dk11GAUGE_ENEMY6updateEv
001580e0	func_001580e0	_ZN2dk9GAUGE_ONE4drawEv
0015b578	func_0015b578	_ZN2dk3Exp6updateEv
0016bda8	_Z16ctarget_0016bda8jjjj	_ZN2YS3OBJ14get_target_posEv
001774e0	func_001774e0	_ZN2YS5PARTY9exec_hookEv
0017bf40	func_0017bf40	_ZN2YS7COMMAND5clearEv
0017bfa0	func_0017bfa0	_ZN2YS7COMMAND3setEiPKNS_6TARGETEPKNS_12COMMAND_ELEME
001826e0	func_001826e0()	_ZN2YS8AREADATA11GetCostRestEv
00187850	func_00187850	_ZN2YS6BTLOBJ10_OVR__deadEv
00188738	func_00188738	_ZN2YS3ACT3endEv
00190128	func_00190128	_ZN2YS6TARGET5clearEv
001987a8	_Z16wtarget_001987a8jjjj	_ZN2YS6STDOBJ12start_cameraEPKcPNS_3OBJE
0019c6f0	_Z16ctarget_0019c6f0jjjj	_ZN2YS3OBJ7is_stopEv
001a3788	_Z16ctarget_001a3788jjjj	_ZN2YS4ITEM11MakeMessageEPcii
001a58f8	func_001a58f8	_ZN2YS5PRIZE8ClearAllEv
001a5970	func_001a5970	_ZN2YS5PRIZE4ReadEv
001a98e8	func_001a98e8	_ZN2YS11MESSAGEDRAWC1ENS_4FONT4TYPEEPKNS_7MESSAGEEiNS0_5ALIGNE
001aa6d0	func_001aa6d0	_ZN2YS11MESSAGEDRAW14set_line_spaceEi
001ac6a0	func_001ac6a0	_ZN2YS6WINDOW7destroyEv
001ac6d0	func_001ac6d0	_ZN2YS6WINDOW4drawEv
001acd78	func_001acd78	_ZN2YS11WINDOW_BASE8page_endEv
001acda8	func_001acda8	_ZN2YS11WINDOW_BASE5closeEv
001c7ee0	func_001c7ee0	_ZN2YS8PRIZE_MU8ClearAllEv
001cc920	_Z16ctarget_001cc920jjjj	_ZN2YS8PRIZE_CA6VacuumEPNS_6BTLOBJES2_i
001d1a18	func_001d1a18	_ZN2YS13MISSION_COUNT9set_paramEiii
001d1ae8	func_001d1ae8	_ZN2YS13MISSION_COUNT10deactivateEv
001d1b60	_Z16wtarget_001d1b60jjjj	_ZN2YS13MISSION_COUNT3setEi
001d1c28	func_001d1c28	_ZN2YS13MISSION_COUNT13reset_warningEv
001d1f08	func_001d1f08	_ZN2YS13MISSION_GAUGE7is_openEv
001d2180	func_001d2180	_ZN2YS12COMBOCOUNTER5resetEv
001dc8c8	func_001dc8c8	_ZN3ryj6EFFECT12fadeout_freeEf
001e2c80	func_001e2c80	_Z10pppLoopEndPv
00225a10	func_00225a10	_ZN2sa5EVENT13waitMessageOnEv
002284e8	func_002284e8	_ZN2sa13MUSICAL_CLEAR7destroyEv
00229430	func_00229430	_ZN2sa18MUSICAL_SCORE_BASE6createEi
00229448	func_00229448	_ZN2sa18MUSICAL_SCORE_BASE10updateInitEv
002296f8	func_002296f8	_ZN2sa13MUSICAL_SCORE7destroyEv
0022ab90	func_0022ab90	_ZN2sa13MUSICAL_INPUT8initFaceEi
0022abd8	func_0022abd8	_ZN2sa13MUSICAL_INPUT7setFaceEi
0022b5c0	func_0022b5c0	_ZN2sa14MUSICAL_TARGET7destroyEv
0022b5f0	func_0022b5f0	_ZN2sa14MUSICAL_TARGET6updateEv
0022b930	func_0022b930	_ZN2sa10MUSICAL_2D5leaveEv
0022c410	func_0022c410	_ZN2sa12ROUND_NUMBER7destroyEv
0022c530	func_0022c530	_ZN2sa5EVENT25set_bin_seq_layout_nonameERNS_14BIN_SEQ_LAYOUTEP4TASK
0022e3e8	func_0022e3e8	_ZN2sa5EVENT12set_kage_seqERNS_12BIN_KAGE_SEQEP4TASK
0022e468	func_0022e468	_ZN2sa5EVENT10set_ik_seqERNS_10BIN_IK_SEQEP4TASK
0022ef50	func_0022ef50	_ZN2sa5EVENT12set_part_seqERNS_12BIN_PART_SEQEP4TASK
0022f200	func_0022f200	_ZN2sa5EVENT13set_bgcol_seqERNS_13BIN_BGCOL_SEQEP4TASK
00231948	func_00231948	_ZN2sa5EVENT21set_bin_seq_crossfadeERNS_17BIN_SEQ_CROSSFADEEP4TASK
002347d8	func_002347d8	_ZN2YI5MCARD13GetResultReadEv
002369a0	func_002369a0	_ZN2YI12IMAGE_FREEZEC1Ev
0023eae0	func_0023eae0	_ZN2Tz7MenuObj14SetHidePartAllEiii
0023eb50	func_0023eb50	_ZN2Tz7MenuObj11SetHidePartEii
00240bd0	func_00240bd0	_ZN2Tz5MCard6GetPosEv
00276dc0	func_00276dc0	_ZN2Tz6Jiminy11FadeOutHelpEv
0028db48	func_0028db48	_ZN2Tz8MenuUtil10SprtIsLoopEPN2dk6SpriteE
00290368	func_00290368	_ZN2Tz8TimeDraw6CreateEiPvPN2YI5IMAGEEi
00297e00	func_00297e00	_ZN2Tz7JmAlbum8LeaveAllEi
