bin	addr	size	symbol	source
<80	0x0016dfb8	28	_ZN2YS22trap_screen_cross_fadeEP8BD_VALUE	src/ys/traps.cpp
<80	0x00171b28	28	_ZN2YS27trap_obj_hook_command_imageEP8BD_VALUE	src/ys/traps.cpp
<80	0x0016a060	12	_ZN2YS3OBJ12get_sub_typeEv	src/yasui/libys/obj.cpp
<80	0x001a02f0	44	_ZN2YS22trap_mission_get_countEP8BD_VALUE	src/ys/traps.cpp
<80	0x001581d0	40	_ZN2dk11GAUGE_PARTY10isAlertEndEv	src/harata/libdk/gauge.cpp
<80	0x0016e650	44	_ZN2YS19trap_saveflag_checkEP8BD_VALUE	src/ys/traps.cpp
<80	0x00175500	28	_ZN2YS15trap_jigsaw_getEP8BD_VALUE	src/ys/traps.cpp
<80	0x0013edd0	8	_ZN2dk7Ft4Base6setRotEf	src/harata/libdk/ft4.cpp
80-199	0x00168fd8	88	func_00168fd8	src/anon/auto80_199_queue.cpp
80-199	0x0013e808	136	func_0013e808	src/anon/auto80_199_queue.cpp
80-199	0x001d0558	92	func_001d0558	src/anon/auto80_199_queue.cpp
80-199	0x002e36f0	92	_ZN2Ti21trap_reverse_path_wayEP8BD_VALUE	src/anon/auto80_199_queue.cpp
80-199	0x0031e9a0	92	func_0031e9a0	src/anon/auto80_199_queue.cpp
80-199	0x00158658	96	func_00158658	src/anon/auto80_199_queue.cpp
80-199	0x00321ce8	92	func_00321ce8	src/anon/auto200_999.cpp
80-199	0x00129008	84	func_00129008	src/anon/auto80_199_queue.cpp
80-199	0x001d20a8	100	_ZN2YS12COMBOCOUNTER8activateEv	src/anon/auto80_199_queue.cpp
80-199	0x002fea18	88	rand	src/anon/auto80_199_queue.cpp
80-199	0x001364b8	164	_ZN2gm9GUMI_MENU4initEP4TASK	src/anon/auto80_199_queue.cpp
80-199	0x00324380	196	func_00324380	src/anon/auto80_199_queue.cpp
80-199	0x00262360	100	func_00262360	src/anon/auto80_199_queue.cpp
80-199	0x001b5680	136	func_001b5680	src/anon/auto80_199_queue.cpp
200-499	0x00104910	312	_ZN4AREA5startEv	src/anon/auto200_999_queue.cpp
200-499	0x00101d68	320	_ZN2dk9SoftReset16softReset_threadEP4TASK	src/anon/auto200_999_queue.cpp
200-499	0x00105a20	212	func_00105a20	src/anon/auto200_999_queue.cpp
200-499	0x00108ae0	288	func_00108ae0	src/anon/auto200_999_queue.cpp
200-499	0x0010f340	260	func_0010f340	src/anon/auto200_999_queue.cpp
200-499	0x00108c00	360	func_00108c00	src/anon/auto200_999_queue.cpp
